,cell_i,cell_j,type,total score,average score
4,25,32,Current,313.945,52
32,27,35,Current,1319.31,41
19,26,43,Current,159.922306683,39
31,26,42,Current,314.314209325,39
13,25,43,Current,1004.66512989,38
38,25,44,Current,363.779701394,36
10,24,42,Current,127.000491078,31
2,28,32,Current,1563.55104005,29
30,31,24,Current,100.73243081,25
33,33,32,Current,300.568804388,25
43,32,30,Current,88.2304617634,22
11,27,29,Current,1092.29085965,21
7,39,17,Current,263.614444444,21
42,27,30,Current,85.669871345,21
1,28,29,Current,856.69871345,21
22,25,29,Current,551.911275748,20
18,31,25,Current,305.713449735,19
44,33,31,Current,935.292758078,19
21,27,32,Current,492.181445978,18
29,27,33,Current,328.120963986,18
6,31,23,Current,378.823323158,17
14,25,30,Current,136.137774825,17
5,30,31,Current,179.653203073,17
37,27,42,Current,392.332371565,16
41,24,45,Current,63.5881032548,15
39,23,46,Current,60.8229012346,15
34,28,24,Current,342.14,14
25,24,28,Current,114.16317165,14
16,29,31,Current,956.695591538,13
20,29,27,Current,180.630775521,11
17,30,28,Current,198.3320908,9
3,31,26,Current,37.1619074074,9
27,34,33,Current,464.560189221,9
28,26,37,Current,171.932222222,8
26,25,38,Current,171.932222222,8
35,23,42,Current,70.4642300195,8
9,31,30,Current,283.316097482,6
12,30,33,Current,574.222777778,5
8,28,26,Current,616.990467012,5
15,36,24,Current,22.275,5
36,33,23,Current,51.1683333333,3
24,33,25,Current,31.4822222222,3
40,31,45,Current,1.91222222222,0
23,33,27,Current,5.23277777778,0
0,35,30,Current,0.0,0
